Date,Cases,Deaths,Recovered,Travel_history,Province,City
21-May-21,4006,88,3712,Local - Social Contact,Punjab,Gujranwala
22-May-21,3088,74,3826,Local - Social Contact,Punjab,Rawalpindi
23-May-21,3449,141,4100,Local - Social Contact,Punjab,Chiniot
24-May-21,3096,110,3038,Local - Social Contact,Punjab,Rahim Yar Khan
25-May-21,2861,134,5400,Local - Social Contact,Punjab,Sialkot
26-May-21,3269,141,3758,Local - Social Contact,Punjab,Vehari
27-May-21,2515,130,2990,Local - Social Contact,Punjab,Bahawalpur
28-May-21,1538,123,3324,Local - Social Contact,Sindh,Karachi
29-May-21,2399,80,4634,Local - Social Contact,Sindh,Karachi
30-May-21,3231,114,5760,Local - Social Contact,Baluchistan,Quetta
31-May-21,2577,109,5360,Local - Social Contact,Punjab,Lahore
